date,type,duration,intensity,muscle_group,calories
2025-06-27,cardio,62,high,cardio_system,600
2025-06-28,strength,82,high,legs,720
2025-06-29,rest,0,none,none,0
2025-06-30,cardio,65,high,cardio_system,620
2025-07-01,strength,85,high,chest,740
2025-07-02,rest,0,none,none,0
2025-07-03,cardio,68,high,cardio_system,640
2025-07-04,strength,88,high,back,760
2025-07-05,rest,0,none,none,0
2025-07-06,cardio,65,high,cardio_system,620
2025-07-07,strength,85,high,shoulders,740
2025-07-08,rest,0,none,none,0
2025-07-09,cardio,70,high,cardio_system,660
2025-07-10,strength,90,high,legs,780
2025-07-11,rest,0,none,none,0
2025-07-12,cardio,68,high,cardio_system,640
2025-07-13,strength,88,high,chest,760
2025-07-14,rest,0,none,none,0
2025-07-15,cardio,66,high,cardio_system,620
2025-07-16,strength,86,high,back,740
2025-07-17,rest,0,none,none,0
2025-07-18,cardio,70,high,cardio_system,660
2025-07-19,strength,90,high,shoulders,780
2025-07-20,rest,0,none,none,0
2025-07-21,cardio,72,high,cardio_system,680
2025-07-22,strength,92,high,legs,800
2025-07-23,rest,0,none,none,0
2025-07-24,cardio,68,high,cardio_system,640
2025-07-25,strength,88,high,chest,760
2025-07-26,rest,0,none,none,0
2025-07-27,cardio,70,high,cardio_system,660
2025-07-28,strength,90,high,back,780
2025-07-29,rest,0,none,none,0
2025-07-30,cardio,72,high,cardio_system,680
2025-07-31,strength,92,high,shoulders,800
2025-08-01,rest,0,none,none,0
2025-08-02,cardio,70,high,cardio_system,660
2025-08-03,strength,90,high,legs,780
2025-08-04,rest,0,none,none,0
2025-08-05,cardio,68,high,cardio_system,640
2025-08-06,strength,88,high,chest,760
2025-08-07,rest,0,none,none,0
2025-08-08,cardio,72,high,cardio_system,680
2025-08-09,strength,92,high,back,800
2025-08-10,rest,0,none,none,0
2025-08-11,cardio,70,high,cardio_system,660
2025-08-12,strength,90,high,shoulders,780
2025-08-13,rest,0,none,none,0
2025-08-14,cardio,75,high,cardio_system,700
2025-08-15,strength,95,high,legs,820
2025-08-16,rest,0,none,none,0
2025-08-17,cardio,72,high,cardio_system,680
2025-08-18,strength,92,high,chest,800
2025-08-19,rest,0,none,none,0
2025-08-20,cardio,70,high,cardio_system,660
2025-08-21,strength,90,high,back,780
2025-08-22,rest,0,none,none,0
2025-08-23,cardio,75,high,cardio_system,700
2025-08-24,strength,95,high,shoulders,820
2025-08-25,rest,0,none,none,0
2025-08-26,cardio,78,high,cardio_system,720
2025-08-27,strength,98,high,legs,840
2025-08-28,rest,0,none,none,0
2025-08-29,cardio,72,high,cardio_system,680
2025-08-30,strength,92,high,chest,800
2025-08-31,rest,0,none,none,0
2025-09-01,cardio,75,high,cardio_system,700
2025-09-02,strength,95,high,back,820
2025-09-03,rest,0,none,none,0
2025-09-04,cardio,78,high,cardio_system,720
2025-09-05,strength,98,high,shoulders,840
2025-09-06,rest,0,none,none,0
2025-09-07,cardio,80,high,cardio_system,750
2025-09-08,strength,100,high,legs,860
2025-09-09,rest,0,none,none,0
2025-09-10,cardio,76,high,cardio_system,710
2025-09-11,strength,96,high,chest,840
2025-09-12,rest,0,none,none,0
2025-09-13,cardio,78,high,cardio_system,720
2025-09-14,strength,98,high,back,840
2025-09-15,rest,0,none,none,0
2025-09-16,cardio,80,high,cardio_system,750
2025-09-17,strength,100,high,shoulders,860
2025-09-18,rest,0,none,none,0
2025-09-19,cardio,82,high,cardio_system,770
2025-09-20,strength,102,high,legs,880
2025-09-21,rest,0,none,none,0
2025-09-22,cardio,78,high,cardio_system,720
2025-09-23,strength,98,high,chest,840
2025-09-24,rest,0,none,none,0
2025-09-25,cardio,80,high,cardio_system,750
2025-09-26,strength,100,high,back,860
2025-09-27,rest,0,none,none,0
2025-09-28,cardio,82,high,cardio_system,770
2025-09-29,strength,102,high,shoulders,880
2025-09-30,rest,0,none,none,0
2025-10-01,cardio,80,high,cardio_system,750
2025-10-02,strength,100,high,legs,860
2025-10-03,rest,0,none,none,0
2025-10-04,cardio,82,high,cardio_system,770
2025-10-05,strength,102,high,chest,880
2025-10-06,rest,0,none,none,0
2025-10-07,cardio,85,high,cardio_system,800
2025-10-08,strength,105,high,back,900
2025-10-09,rest,0,none,none,0
2025-10-10,cardio,82,high,cardio_system,770
2025-10-11,strength,102,high,shoulders,880
2025-10-12,rest,0,none,none,0
2025-10-13,cardio,85,high,cardio_system,800
2025-10-14,strength,105,high,legs,900
2025-10-15,rest,0,none,none,0
2025-10-16,cardio,88,high,cardio_system,820
2025-10-17,strength,108,high,chest,920
2025-10-18,rest,0,none,none,0
2025-10-19,cardio,85,high,cardio_system,800
2025-10-20,strength,105,high,back,900
2025-10-21,rest,0,none,none,0
2025-10-22,cardio,88,high,cardio_system,820
2025-10-23,strength,108,high,shoulders,920
2025-10-24,rest,0,none,none,0
2025-10-25,cardio,90,high,cardio_system,840
2025-10-26,strength,110,high,legs,940
2025-10-27,rest,0,none,none,0
2025-10-28,cardio,88,high,cardio_system,820
2025-10-29,strength,108,high,chest,920
2025-10-30,rest,0,none,none,0
2025-10-31,cardio,90,high,cardio_system,840
2025-11-01,strength,110,high,back,940
2025-11-02,rest,0,none,none,0
2025-11-03,cardio,88,high,cardio_system,820
2025-11-04,strength,108,high,shoulders,920
2025-11-05,rest,0,none,none,0
2025-11-06,cardio,92,high,cardio_system,860
2025-11-07,strength,112,high,legs,960
2025-11-08,rest,0,none,none,0
2025-11-09,cardio,90,high,cardio_system,840
2025-11-10,strength,110,high,chest,940
2025-11-11,rest,0,none,none,0
2025-11-12,cardio,92,high,cardio_system,860
2025-11-13,strength,112,high,back,960
2025-11-14,rest,0,none,none,0
2025-11-15,cardio,95,high,cardio_system,880
2025-11-16,strength,115,high,shoulders,980
2025-11-17,rest,0,none,none,0
2025-11-18,cardio,92,high,cardio_system,860
2025-11-19,strength,112,high,legs,960
2025-11-20,rest,0,none,none,0
2025-11-21,cardio,95,high,cardio_system,880
2025-11-22,strength,115,high,chest,980
2025-11-23,rest,0,none,none,0
2025-11-24,cardio,98,high,cardio_system,900
2025-11-25,strength,118,high,back,1000
2025-11-26,rest,0,none,none,0
2025-11-27,cardio,95,high,cardio_system,880
2025-11-28,strength,115,high,shoulders,980
2025-11-29,rest,0,none,none,0
2025-11-30,cardio,98,high,cardio_system,900
2025-12-01,strength,118,high,legs,1000
2025-12-02,rest,0,none,none,0
2025-12-03,cardio,95,high,cardio_system,880
2025-12-04,strength,115,high,chest,980
2025-12-05,rest,0,none,none,0
2025-12-06,cardio,98,high,cardio_system,900
2025-12-07,strength,118,high,back,1000
2025-12-08,rest,0,none,none,0
2025-12-09,cardio,100,high,cardio_system,920
2025-12-10,strength,120,high,shoulders,1020
2025-12-11,rest,0,none,none,0
2025-12-12,cardio,98,high,cardio_system,900
2025-12-13,strength,118,high,legs,1000
2025-12-14,rest,0,none,none,0
2025-12-15,cardio,100,high,cardio_system,920
2025-12-16,strength,120,high,chest,1020
2025-12-17,rest,0,none,none,0
2025-12-18,cardio,102,high,cardio_system,940
2025-12-19,strength,122,high,back,1040
2025-12-20,rest,0,none,none,0
2025-12-21,cardio,100,high,cardio_system,920
2025-12-22,strength,120,high,shoulders,1020
2025-12-23,rest,0,none,none,0
2025-12-24,cardio,102,high,cardio_system,940
2025-12-25,strength,122,high,legs,1040
2025-12-26,rest,0,none,none,0
2025-12-27,cardio,105,high,cardio_system,960
2025-12-28,strength,125,high,chest,1060
2025-12-29,rest,0,none,none,0
2025-12-30,cardio,102,high,cardio_system,940
2025-12-31,strength,122,high,back,1040
2026-01-01,rest,0,none,none,0
2026-01-02,cardio,105,high,cardio_system,960
2026-01-03,strength,125,high,shoulders,1060
2026-01-04,rest,0,none,none,0
2026-01-05,cardio,108,high,cardio_system,980
2026-01-06,strength,128,high,legs,1080
2026-01-07,rest,0,none,none,0
2026-01-08,cardio,105,high,cardio_system,960
2026-01-09,strength,125,high,chest,1060
2026-01-10,rest,0,none,none,0
2026-01-11,cardio,108,high,cardio_system,980
2026-01-12,strength,128,high,back,1080
2026-01-13,rest,0,none,none,0
2026-01-14,cardio,110,high,cardio_system,1000
2026-01-15,strength,130,high,shoulders,1100
2026-01-16,rest,0,none,none,0
2026-01-17,cardio,108,high,cardio_system,980
2026-01-18,strength,128,high,legs,1080
2026-01-19,rest,0,none,none,0
2026-01-20,cardio,110,high,cardio_system,1000
2026-01-21,strength,130,high,chest,1100
2026-01-22,rest,0,none,none,0
2026-01-23,cardio,112,high,cardio_system,1020
2026-01-24,strength,132,high,back,1120
2026-01-25,rest,0,none,none,0
2026-01-26,cardio,110,high,cardio_system,1000
2026-01-27,strength,130,high,shoulders,1100
2026-01-28,rest,0,none,none,0
2026-01-29,cardio,112,high,cardio_system,1020
2026-01-30,strength,132,high,legs,1120
2026-01-31,rest,0,none,none,0
2026-02-01,cardio,115,high,cardio_system,1040
2026-02-02,strength,135,high,chest,1140
2026-02-03,rest,0,none,none,0
2026-02-04,cardio,112,high,cardio_system,1020
2026-02-05,strength,132,high,back,1120
2026-02-06,rest,0,none,none,0
2026-02-07,cardio,115,high,cardio_system,1040
2026-02-08,strength,135,high,shoulders,1140
2026-02-09,rest,0,none,none,0
2026-02-10,cardio,118,high,cardio_system,1060
2026-02-11,strength,138,high,legs,1160
2026-02-12,rest,0,none,none,0
2026-02-13,cardio,115,high,cardio_system,1040
2026-02-14,strength,135,high,chest,1140
2026-02-15,rest,0,none,none,0
2026-02-16,cardio,118,high,cardio_system,1060
2026-02-17,strength,138,high,back,1160
2026-02-18,rest,0,none,none,0
2026-02-19,cardio,120,high,cardio_system,1080
2026-02-20,strength,140,high,shoulders,1180
2026-02-21,rest,0,none,none,0
2026-02-22,cardio,118,high,cardio_system,1060
2026-02-23,strength,138,high,legs,1160
2026-02-24,rest,0,none,none,0
2026-02-25,cardio,120,high,cardio_system,1080
2026-02-26,strength,140,high,chest,1180
2026-02-27,rest,0,none,none,0
2026-02-28,cardio,122,high,cardio_system,1100
2026-03-01,strength,142,high,back,1200
2026-03-02,rest,0,none,none,0
2026-03-03,cardio,120,high,cardio_system,1080
2026-03-04,strength,140,high,shoulders,1180
2026-03-05,rest,0,none,none,0
2026-03-06,cardio,122,high,cardio_system,1100
2026-03-07,strength,142,high,legs,1200
2026-03-08,rest,0,none,none,0
2026-03-09,cardio,125,high,cardio_system,1120
2026-03-10,strength,145,high,chest,1220
2026-03-11,rest,0,none,none,0
2026-03-12,cardio,122,high,cardio_system,1100
2026-03-13,strength,142,high,back,1200
2026-03-14,rest,0,none,none,0
2026-03-15,cardio,125,high,cardio_system,1120
2026-03-16,strength,145,high,shoulders,1220
2026-03-17,rest,0,none,none,0
2026-03-18,cardio,128,high,cardio_system,1140
2026-03-19,strength,148,high,legs,1240
2026-03-20,rest,0,none,none,0
2026-03-21,cardio,125,high,cardio_system,1120
2026-03-22,strength,145,high,chest,1220
2026-03-23,rest,0,none,none,0
2026-03-24,cardio,128,high,cardio_system,1140
2026-03-25,strength,148,high,back,1240
2026-03-26,rest,0,none,none,0
2026-03-27,cardio,130,high,cardio_system,1160
2026-03-28,strength,150,high,shoulders,1260
2026-03-29,rest,0,none,none,0
2026-03-30,cardio,128,high,cardio_system,1140
2026-03-31,rest,0,none,none,0
2026-04-01,cardio,132,high,cardio_system,1180
2026-04-02,strength,152,high,legs,1280
2026-04-03,rest,0,none,none,0
2026-04-04,cardio,130,high,cardio_system,1160
2026-04-05,strength,150,high,chest,1260
2026-04-06,rest,0,none,none,0
2026-04-07,cardio,132,high,cardio_system,1180
2026-04-08,strength,152,high,back,1280
2026-04-09,rest,0,none,none,0
2026-04-10,cardio,135,high,cardio_system,1200
2026-04-11,strength,155,high,shoulders,1300
2026-04-12,rest,0,none,none,0
2026-04-13,cardio,132,high,cardio_system,1180
2026-04-14,strength,152,high,legs,1280
2026-04-15,rest,0,none,none,0
2026-04-16,cardio,135,high,cardio_system,1200
2026-04-17,strength,155,high,chest,1300
2026-04-18,rest,0,none,none,0
2026-04-19,cardio,138,high,cardio_system,1220
2026-04-20,strength,158,high,back,1320
2026-04-21,rest,0,none,none,0
2026-04-22,cardio,135,high,cardio_system,1200
2026-04-23,strength,155,high,shoulders,1300
2026-04-24,rest,0,none,none,0
2026-04-25,cardio,138,high,cardio_system,1220
2026-04-26,strength,158,high,legs,1320
2026-04-27,rest,0,none,none,0
2026-04-28,cardio,140,high,cardio_system,1240
2026-04-29,strength,160,high,chest,1340
2026-04-30,rest,0,none,none,0
